frame,track_id,jersey,x1,y1,x2,y2,cx,cy,field_x,field_y
1,1,,993,246,1023,317,1008,317,0.0,0.0
1,2,,270,554,312,636,291,636,0.0,0.0
1,3,,291,237,350,306,320,306,0.0,0.0
1,4,,601,550,636,633,618,633,0.0,0.0
1,5,,801,69,832,136,816,136,0.0,0.0
1,6,,325,413,379,483,352,483,0.0,0.0
2,7,,270,554,312,636,291,636,0.0,0.0
2,8,,993,247,1024,318,1008,318,0.0,0.0
2,9,,291,237,350,306,320,306,0.0,0.0
2,10,,801,68,832,136,816,136,0.0,0.0
2,11,,603,550,638,632,620,632,0.0,0.0
2,12,,326,413,379,483,352,483,0.0,0.0
3,13,,270,553,312,635,291,635,0.0,0.0
3,14,,994,247,1024,318,1009,318,0.0,0.0
3,15,,291,237,349,306,320,306,0.0,0.0
3,16,,802,68,832,136,817,136,0.0,0.0
3,17,,607,550,640,633,623,633,0.0,0.0
3,18,,325,413,379,482,352,482,0.0,0.0
3,19,,500,63,546,126,523,126,0.0,0.0
4,20,,270,553,312,635,291,635,0.0,0.0
4,21,,995,248,1024,318,1009,318,0.0,0.0
4,22,,291,237,348,306,319,306,0.0,0.0
4,23,,802,69,832,136,817,136,0.0,0.0
4,24,,608,551,642,633,625,633,0.0,0.0
4,25,,325,413,379,482,352,482,0.0,0.0
4,26,,500,63,546,126,523,126,0.0,0.0
5,27,,269,553,313,635,291,635,0.0,0.0
5,28,,995,248,1024,318,1009,318,0.0,0.0
5,29,,607,551,645,633,626,633,0.0,0.0
5,30,,290,237,348,306,319,306,0.0,0.0
5,31,,802,69,832,136,817,136,0.0,0.0
5,32,,325,413,379,482,352,482,0.0,0.0
6,33,,269,553,313,635,291,635,0.0,0.0
6,34,,996,248,1024,318,1010,318,0.0,0.0
6,35,,609,551,649,632,629,632,0.0,0.0
6,36,,802,68,832,136,817,136,0.0,0.0
6,37,,325,413,379,482,352,482,0.0,0.0
6,38,,291,237,348,306,319,306,0.0,0.0
6,39,,501,63,546,126,523,126,0.0,0.0
7,40,,269,553,313,635,291,635,0.0,0.0
7,41,,996,248,1025,318,1010,318,0.0,0.0
7,42,,610,552,653,633,631,633,0.0,0.0
7,43,,802,69,832,136,817,136,0.0,0.0
7,44,,325,413,378,482,351,482,0.0,0.0
7,45,,500,63,545,127,522,127,0.0,0.0
8,46,,269,553,313,635,291,635,0.0,0.0
8,47,,996,248,1025,318,1010,318,0.0,0.0
8,48,,613,552,656,632,634,632,0.0,0.0
8,49,,325,413,378,482,351,482,0.0,0.0
8,50,,802,69,832,136,817,136,0.0,0.0
8,51,,499,63,545,126,522,126,0.0,0.0
9,52,,269,553,313,635,291,635,0.0,0.0
9,53,,996,249,1026,318,1011,318,0.0,0.0
9,54,,325,413,378,482,351,482,0.0,0.0
9,55,,803,69,833,136,818,136,0.0,0.0
9,56,,612,553,658,632,635,632,0.0,0.0
9,57,,500,63,545,126,522,126,0.0,0.0
9,58,,391,331,451,407,421,407,0.0,0.0
10,59,,269,553,313,635,291,635,0.0,0.0
10,60,,997,249,1026,316,1011,316,0.0,0.0
10,61,,325,413,378,482,351,482,0.0,0.0
10,62,,803,70,833,136,818,136,0.0,0.0
10,63,,609,553,662,632,635,632,0.0,0.0
10,64,,500,63,546,126,523,126,0.0,0.0
10,65,,392,329,451,407,421,407,0.0,0.0
11,66,,268,553,313,635,290,635,0.0,0.0
11,67,,997,249,1026,316,1011,316,0.0,0.0
11,68,,325,413,378,482,351,482,0.0,0.0
11,69,,803,70,833,136,818,136,0.0,0.0
11,70,,612,551,664,632,638,632,0.0,0.0
11,71,,500,63,546,126,523,126,0.0,0.0
12,72,,268,553,313,635,290,635,0.0,0.0
12,73,,997,249,1026,317,1011,317,0.0,0.0
12,74,,326,413,378,482,352,482,0.0,0.0
12,75,,803,70,833,136,818,136,0.0,0.0
12,76,,616,552,667,632,641,632,0.0,0.0
12,77,,501,63,546,126,523,126,0.0,0.0
13,78,,268,552,313,635,290,635,0.0,0.0
13,79,,997,251,1026,319,1011,319,0.0,0.0
13,80,,325,413,378,482,351,482,0.0,0.0
13,81,,803,71,833,136,818,136,0.0,0.0
13,82,,620,557,667,631,643,631,0.0,0.0
13,83,,299,237,347,304,323,304,0.0,0.0
13,84,,500,63,545,127,522,127,0.0,0.0
14,85,,268,552,313,635,290,635,0.0,0.0
14,86,,998,252,1026,318,1012,318,0.0,0.0
14,87,,325,413,378,482,351,482,0.0,0.0
14,88,,803,71,833,136,818,136,0.0,0.0
14,89,,500,62,545,126,522,126,0.0,0.0
14,90,,300,237,346,304,323,304,0.0,0.0
14,91,,623,559,668,631,645,631,0.0,0.0
15,92,,266,552,313,635,289,635,0.0,0.0
15,93,,998,252,1027,319,1012,319,0.0,0.0
15,94,,325,413,378,482,351,482,0.0,0.0
15,95,,803,71,833,136,818,136,0.0,0.0
15,96,,625,554,668,631,646,631,0.0,0.0
15,97,,298,237,347,305,322,305,0.0,0.0
16,98,,266,552,313,635,289,635,0.0,0.0
16,99,,998,253,1028,320,1013,320,0.0,0.0
16,100,,625,552,668,632,646,632,0.0,0.0
16,101,,298,236,348,304,323,304,0.0,0.0
